,Judge Name,Average_Agreement,Count
222,Sal D'Amato,0.5454545454545454,121
46,Chris Lee,0.5652173913043478,92
74,Derek Cleary,0.6197183098591549,71
160,Marcos Rosales,0.47368421052631576,57
244,Tony Weeks,0.4642857142857143,56
94,Glenn Trowbridge,0.5869565217391305,46
64,Dave Hagen,0.6578947368421053,38
38,Cecil Peoples,0.5263157894736842,38
78,Douglas Crosby,0.5675675675675675,37
136,Junichiro Kamijo,0.6216216216216216,37
168,Michael Bell,0.5454545454545454,33
36,Cardo Urso,0.46875,32
105,Howard Hughes,0.45161290322580644,31
2,Adalaide Byrd,0.4482758620689655,29
118,Jeff Mullen,0.5357142857142857,28
205,Richard Bertrand,0.6923076923076923,26
181,Nelson Hamilton,0.92,25
162,Mark Collett,0.64,25
152,Lester Griffin,0.391304347826087,23
24,Ben Cartlidge,0.6818181818181818,22
186,Patricia Morse Jarman,0.5714285714285714,21
17,Andy Roberts,0.6842105263157895,19
189,Paul Sutherland,0.42105263157894735,19
66,Dave Tirelli,0.5,18
41,Charlie Keech,0.6470588235294118,17
209,Rick Winter,0.35294117647058826,17
21,Barry Foley,0.6470588235294118,17
82,Eric Colon,0.47058823529411764,17
83,Eric Colón,0.7647058823529411,17
98,Guilherme Bravo,0.5294117647058824,17
85,Evan Field,0.5294117647058824,17
218,Roy Silbert,0.5625,16
70,David Therien,0.5333333333333333,15
49,Chris Watts,0.46153846153846156,13
34,Brian Puccillo,0.6153846153846154,13
216,Ron McCarthy,0.6153846153846154,13
116,Jeff Blatnick,0.6363636363636364,11
164,Mark Smith,0.7272727272727273,11
90,Garth Harriman,0.7,10
134,Joseph Terrell,0.8888888888888888,9
250,Wade Vierra,0.5555555555555556,9
69,David Lethaby,0.6666666666666666,9
18,Anthony Dimitriou,0.4444444444444444,9
137,Kelvin Caldwell,0.625,8
146,Kon Papaioannou,0.5,8
51,Christopher Shen,0.75,8
5,Aladin Martinez,0.5714285714285714,7
100,Hallison Pontes,0.42857142857142855,7
234,Takeo Kobayashi,0.3333333333333333,6
163,Mark Craig,0.0,6
79,Dr. Greg Jackson,0.5,6
190,Pawel Harasim,0.8333333333333334,6
26,Benoit Roussel,0.3333333333333333,6
125,Joe Soliz,0.16666666666666666,6
9,Anders Ohlsson,0.8333333333333334,6
245,Troy Wincapaw,0.8,5
22,Barry Luxenberg,0.2,5
173,Mike Beltran,0.4,5
239,Tim Vannatta,0.4,5
248,Vinicius Lins,0.6,5
139,Ken Coffey,0.8,5
196,Phillipe Iorio,0.2,5
184,Otto Torriero,0.4,5
117,Jeff Collins,0.2,5
1,Abe Belardo,0.6,5
109,JJ Ferraro,0.75,4
159,Marco Aurelio Borges,0.5,4
185,Pasquale Procopio,1.0,4
156,Maciej Motylewski,0.75,4
101,Hector Gomez,1.0,4
154,Lukasz Bosacki,0.5,4
131,Jon Schorle,0.75,4
0,Aaron Chatfield,0.25,4
25,Ben Ramirez,0.75,4
35,Bryan Miner,0.5,4
10,Andreas Gruner,0.25,4
232,Susan Thomas-Gitlin,0.5,4
57,Dalby Shirley,0.3333333333333333,3
19,Anthony Maness,0.3333333333333333,3
157,Mans Nilsson,1.0,3
43,Chris Flores,0.3333333333333333,3
153,Luis Cobian,0.6666666666666666,3
102,Hector Hernandez,0.3333333333333333,3
61,Danny Dealejandro,0.3333333333333333,3
56,Curtis Thrasher,0.0,3
150,Larry Landless,0.3333333333333333,3
107,Howie Booth,1.0,3
54,Clemens Werner,0.0,3
212,Robert MacAvoy,0.6666666666666666,3
161,Maria Makhmutova,0.3333333333333333,3
126,John Cooper,0.6666666666666666,3
71,Dean Weir,0.3333333333333333,3
229,Steve Rita,0.3333333333333333,3
89,Gabriel Sabaitis,0.6666666666666666,3
6,Albert Shen,0.0,3
7,Alejandro Rochin,0.6666666666666666,3
188,Patrick Patlan,0.0,3
4,Al Lefkowitz,0.3333333333333333,3
228,Steve Morrow,0.6666666666666666,3
135,Juan Munoz,0.5,2
31,Brandon Saucedo,0.0,2
243,Tony Tamburrino,1.0,2
242,Tony Mullinax,0.5,2
241,Tom Harris,1.0,2
177,Mike Mikkelson,0.5,2
33,Brian Costello,1.0,2
206,Richard Davis,0.5,2
72,Declan Woods,1.0,2
32,Brian Beauchamp,0.0,2
144,Kevin Manderson,0.5,2
15,Andy Haigh,0.0,2
28,Brad Duruttya,1.0,2
176,Mike Mena,1.0,2
148,Lamont Nelson,0.5,2
193,Peter Hickmott,0.5,2
246,Unknown Judge,0.5,2
8,Alessandro Vieira,0.5,2
170,Michelle Agustin,0.5,2
155,Luke Hill,0.5,2
165,Mark Van Tine,0.5,2
158,Marcelo Vilhena,0.5,2
20,Anthony Townsend,0.5,2
12,Andreas Ramsby,0.5,2
226,Steve English,0.5,2
221,Ryan Shea,1.0,2
99,Hale Hilsabeck,1.0,2
84,Erick Philippeaux,0.5,2
95,Graham Bettes,1.0,2
96,Greg Monskie,0.5,2
92,Gino Garcia,0.0,2
59,Dan Mathisen,0.0,2
123,Jim Bergman,0.0,2
55,Craig Smith,0.5,2
106,Howard Reichbach,0.0,2
88,Fernando Amaral,0.5,2
108,Hubert Earle,0.5,2
230,Storm Oshyer,0.5,2
215,Ron Mann,0.5,2
214,Romulo Bittencourt,0.0,2
86,Fabio Alves,1.0,2
231,Sue Sanidad,0.0,2
67,David Ginsberg,1.0,2
224,Steve Armstrong,1.0,2
114,Jason Rodgers,0.5,2
210,Rob Francis,0.0,2
235,Terry Boehlke,1.0,2
80,Edward Collantes,0.5,2
225,Steve Elliott,0.5,2
77,Don Turnage,0.0,2
183,Nicolaj Bulow,1.0,1
252,William Mattingly,1.0,1
182,Nick Mahmood,0.0,1
227,Steve Garrean,1.0,1
249,Vito Paolillo,1.0,1
220,Ruben Najera,1.0,1
187,Patrick Buckley,1.0,1
192,Perry Hillin,1.0,1
223,Sal Signorino,0.0,1
191,Pedro Claudio,0.0,1
251,Wilfredo Cintron,0.0,1
207,Richard DeCarufel,0.0,1
247,Victor Wolf,1.0,1
201,Ric Bays,0.0,1
208,Rick Campos,1.0,1
238,Tim Turner,1.0,1
204,Rich Montanez,1.0,1
211,Robbie Scheuermann,0.0,1
203,Rich Green,1.0,1
202,Ricardo Almeida,0.0,1
237,Tim Corrado,0.0,1
236,Thomas Fan,1.0,1
213,Robert Madrigal,1.0,1
219,Ruben Carrion,0.0,1
200,Ray Martin,0.0,1
199,Ray Balewicz,1.0,1
198,Raul Porrata,0.0,1
197,Randy Corley,1.0,1
233,Sylvain LeBlanc,0.0,1
195,Phil Rogers,1.0,1
194,Peter Lavery,1.0,1
217,Ron Rodriguez,0.0,1
240,Todd Agosta,1.0,1
127,John Kloock,0.0,1
180,Nate Mann,0.0,1
65,Dave Stone,0.0,1
52,Clark Walters,0.0,1
53,Claude Paquette,1.0,1
58,Dan Furse,0.0,1
60,Daniel Torres,1.0,1
62,Darryl Ransom,1.0,1
63,Dave Brogan,1.0,1
68,David Hinkel,1.0,1
48,Chris Tellez,0.0,1
73,Dennis O'Connell,1.0,1
75,Don Balas,1.0,1
76,Don Robinson,0.0,1
81,Eliseo Rodriguez,0.0,1
87,Felipe Frank,1.0,1
91,Gerald Ritter,1.0,1
50,Christopher Doyle,1.0,1
47,Chris Reed,0.0,1
97,Guadalupe Chapa,0.0,1
27,Bob LeBlanc,0.0,1
3,Ahmed Korchi,0.0,1
11,Andreas Grüner,0.0,1
13,Andrew Adkins,0.0,1
14,Andrew Tomazik,0.0,1
16,Andy Kemp,0.0,1
23,Bass Singh,0.0,1
29,Brad Frank,0.0,1
45,Chris Hayes,1.0,1
30,Brandon Mason,1.0,1
37,Carlos Rodriguez,1.0,1
39,Cezary Wojciechowski,1.0,1
40,Charles Phillips,0.0,1
42,Chris Aliendi,1.0,1
44,Chris Franco,1.0,1
93,Glenn Hamada,0.0,1
103,Hector Maldonado,1.0,1
179,Myron Gaudet,0.0,1
166,Matt Janecek,1.0,1
142,Kevin Champion,0.0,1
143,Kevin Dornan,0.0,1
145,Kings Kao,0.0,1
147,Kristy Gynan,1.0,1
149,Lance Gibson,1.0,1
151,Lars Borssen,1.0,1
167,Matt Prieto,1.0,1
140,Kent Basinger,0.0,1
169,Michael Depasquale Jr.,1.0,1
171,Michelle Olney,0.0,1
172,Miguel Jimenez,1.0,1
174,Mike Gonzalez,0.0,1
175,Mike Guingona,1.0,1
178,Mike Ross,0.0,1
141,Kerry Hatley,1.0,1
138,Ken Barringer,1.0,1
104,Henry Krawiec,0.0,1
120,Jennie Cardenas,1.0,1
110,Jadranko Cacic,1.0,1
111,James Corbett,1.0,1
112,Jana Richmond,0.0,1
113,Jason McCoy,0.0,1
115,Jean Warring,0.0,1
119,Jeff Sinnett,0.0,1
121,Jerin Valel,0.0,1
133,Jose Tabora,1.0,1
122,Jespar Gunnarson,0.0,1
124,Joe Garcia,1.0,1
128,John Lapcevic,0.0,1
129,John Woodburn,1.0,1
130,Jon Bilyk,0.0,1
132,Jorgen Segerlind,0.0,1
253,William McKinnon,1.0,1
