,0
0,Cecil Peoples
1,Nelson Hamilton
2,Jon Schorle
3,Abe Belardo
4,Chris Lee
5,Raul Porrata
6,Lester Griffin
7,Douglas Crosby
8,Adalaide Byrd
9,Jeff Mullen
10,Richard Bertrand
11,Romulo Bittencourt
12,Todd Agosta
13,Barry Foley
14,Al Lefkowitz
15,Patricia Morse Jarman
16,Sal D'Amato
17,Dave Hagen
18,Jeff Blatnick
19,Ken Barringer
20,Kent Basinger
21,Pasquale Procopio
22,Chris Franco
23,Luis Cobian
24,Kelvin Caldwell
25,Mike Beltran
26,Junichiro Kamijo
27,Randy Corley
28,Brad Duruttya
29,Wilfredo Cintron
30,Mark Collett
31,Steve English
32,Jeff Collins
33,Derek Cleary
34,Ricardo Almeida
35,Ric Bays
36,Hector Gomez
37,Eric Colon
38,Jon Bilyk
39,Ray Balewicz
40,Aaron Chatfield
41,Cardo Urso
42,Mark Smith
43,Michael Bell
44,Ben Cartlidge
45,Jim Bergman
46,Dr. Greg Jackson
47,Terry Boehlke
48,Guilherme Bravo
49,Howard Hughes
50,Brian Beauchamp
51,Gino Garcia
52,Michelle Agustin
53,Marco Aurelio Borges
54,Tom Harris
55,Aladin Martinez
56,Fernando Amaral
57,John Cooper
58,Anthony Dimitriou
59,Marcos Rosales
60,Lars Borssen
61,Thomas Fan
62,Ron McCarthy
63,Mark Craig
64,Evan Field
65,Myron Gaudet
66,Andy Haigh
67,Eric Colón
68,Don Balas
69,Andrew Adkins
70,Jadranko Cacic
71,Hallison Pontes
72,Joseph Terrell
73,Matt Janecek
74,Ken Coffey
75,Guadalupe Chapa
76,Rick Campos
77,Maciej Motylewski
78,Andreas Gruner
79,Patrick Buckley
80,Mike Guingona
81,Chris Flores
82,Hale Hilsabeck
83,Joe Garcia
84,Hubert Earle
85,Rob Francis
86,Brian Puccillo
87,Andreas Grüner
88,Mans Nilsson
89,Fabio Alves
90,Peter Hickmott
91,Gerald Ritter
92,Miguel Jimenez
93,Dave Brogan
94,Brian Costello
95,Chris Aliendi
96,Kon Papaioannou
97,David Ginsberg
98,Pedro Claudio
99,Phillipe Iorio
100,David Lethaby
101,Mike Mikkelson
102,Steve Armstrong
103,Howie Booth
104,Greg Monskie
105,Jennie Cardenas
106,Ruben Carrion
107,Garth Harriman
108,Nicolaj Bulow
109,Lukasz Bosacki
110,Danny Dealejandro
111,JJ Ferraro
112,Ahmed Korchi
113,Dalby Shirley
114,Mike Ross
115,Hector Hernandez
116,John Kloock
117,Sylvain LeBlanc
118,Glenn Trowbridge
119,Tony Mullinax
120,Andy Roberts
121,Tim Vannatta
122,Claude Paquette
123,David Therien
124,Lance Gibson
125,Roy Silbert
126,Dave Stone
127,Unknown Judge
128,Larry Landless
129,Richard DeCarufel
130,William Mattingly
131,Tony Tamburrino
132,Ray Martin
133,Chris Watts
134,Steve Morrow
135,Steve Garrean
136,Anthony Maness
137,Richard Davis
138,Rich Green
139,Sue Sanidad
140,Henry Krawiec
141,Mark Van Tine
142,Andy Kemp
143,Tony Weeks
144,Gabriel Sabaitis
145,Jason Rodgers
146,Steve Rita
147,David Hinkel
148,Graham Bettes
149,Ruben Najera
150,Edward Collantes
151,Nate Mann
152,Vinicius Lins
153,Dan Mathisen
154,Mike Gonzalez
155,Erick Philippeaux
156,Juan Munoz
157,Charlie Keech
158,Robert MacAvoy
159,Jespar Gunnarson
160,Mike Mena
161,Dave Tirelli
162,Michael Depasquale Jr.
163,Felipe Frank
164,Robbie Scheuermann
165,Paul Sutherland
166,Bryan Miner
167,John Lapcevic
168,James Corbett
169,Dan Furse
170,Takeo Kobayashi
171,Hector Maldonado
172,Pawel Harasim
173,Brad Frank
174,Ron Mann
175,Chris Reed
176,Luke Hill
177,Brandon Saucedo
178,Storm Oshyer
179,Christopher Shen
180,Steve Elliott
181,Chris Hayes
182,Tim Corrado
183,Tim Turner
184,Matt Prieto
185,Kristy Gynan
186,Bob LeBlanc
187,Ben Ramirez
188,Curtis Thrasher
189,Benoit Roussel
190,Christopher Doyle
191,Kevin Champion
192,Anders Ohlsson
193,Perry Hillin
194,Kevin Dornan
195,Daniel Torres
196,Michelle Olney
197,Nick Mahmood
198,Patrick Patlan
199,Howard Reichbach
200,Darryl Ransom
201,Alejandro Rochin
202,Jeff Sinnett
203,Jana Richmond
204,Susan Thomas-Gitlin
205,Clark Walters
206,Otto Torriero
207,Andrew Tomazik
208,Kings Kao
209,Charles Phillips
210,Rick Winter
211,Barry Luxenberg
212,Jose Tabora
213,Carlos Rodriguez
214,Bass Singh
215,John Woodburn
216,Wade Vierra
217,Andreas Ramsby
218,Dean Weir
219,Sal Signorino
220,Lamont Nelson
221,Glenn Hamada
222,Ryan Shea
223,Robert Madrigal
224,Troy Wincapaw
225,Jean Warring
226,Chris Tellez
227,Joe Soliz
228,William McKinnon
229,Craig Smith
230,Anthony Townsend
231,Eliseo Rodriguez
232,Kerry Hatley
233,Alessandro Vieira
234,Phil Rogers
235,Albert Shen
236,Rich Montanez
237,Peter Lavery
238,Dennis O'Connell
239,Don Robinson
240,Jorgen Segerlind
241,Ron Rodriguez
242,Kevin Manderson
243,Jason McCoy
244,Marcelo Vilhena
245,Brandon Mason
246,Don Turnage
247,Declan Woods
248,Maria Makhmutova
249,Cezary Wojciechowski
250,Clemens Werner
251,Vito Paolillo
252,Victor Wolf
253,Jerin Valel
